"id","apofasal","apoperi_id","apoperico","aporico","date","estival","fasal","invernal","invertido","lleno","luna_id","nuevo","otonyal","perico","primaveral","selecto","soe_id","year"
165,0,,0,0,"0157-06-22 16:01:55",1,1,0,0,0,7762,1,0,0,0,0,626,157
166,0,,0,0,"0157-06-22 16:01:55",1,1,0,0,0,111605,1,0,0,0,0,626,157
167,0,,0,0,"0158-12-21 05:46:19",0,1,1,0,1,7836,0,0,0,0,0,632,158
168,0,,0,0,"0158-12-21 05:46:19",0,1,1,0,1,111679,0,0,0,0,0,632,158
169,0,,0,0,"0159-03-21 06:02:49",0,1,0,0,1,7848,0,0,0,1,0,633,159
170,0,,0,0,"0159-03-21 06:02:49",0,1,0,0,1,111691,0,0,0,1,0,633,159
171,0,,0,0,"0163-03-21 05:17:27",0,1,0,0,0,8046,1,0,0,1,0,649,163
172,0,,0,0,"0163-03-21 05:17:27",0,1,0,0,0,111889,1,0,0,1,0,649,163
173,0,,0,0,"0164-06-22 08:31:51",1,1,0,0,1,8108,0,0,0,0,0,654,164
174,0,,0,0,"0164-06-22 08:31:51",1,1,0,0,1,111951,0,0,0,0,0,654,164
175,0,,0,0,"0165-09-23 03:58:34",0,1,0,0,0,8170,1,1,0,0,0,659,165
176,0,,0,0,"0165-09-23 03:58:34",0,1,0,0,0,112013,1,1,0,0,0,659,165
177,0,,0,0,"0165-12-20 22:18:19",0,1,1,0,0,8182,1,0,0,0,0,660,165
178,0,,0,0,"0165-12-20 22:18:19",0,1,1,0,0,112025,1,0,0,0,0,660,165
179,0,,0,0,"0168-06-22 07:39:08",1,1,0,0,0,8306,1,0,0,0,0,670,168
180,0,,0,0,"0168-06-22 07:39:08",1,1,0,0,0,112149,1,0,0,0,0,670,168
181,0,,0,0,"0169-09-23 03:17:15",0,1,0,0,1,8368,0,1,0,0,0,675,169
182,0,,0,0,"0169-09-23 03:17:15",0,1,0,0,1,112211,0,1,0,0,0,675,169
183,0,,0,0,"0169-12-20 21:37:02",0,1,1,0,1,8380,0,0,0,0,0,676,169
184,0,,0,0,"0169-12-20 21:37:02",0,1,1,0,1,112223,0,0,0,0,0,676,169
185,0,,0,0,"0172-06-22 06:50:15",1,1,0,0,1,8504,0,0,0,0,0,686,172
186,0,,0,0,"0172-06-22 06:50:15",1,1,0,0,1,112347,0,0,0,0,0,686,172
187,0,,0,0,"0173-09-23 02:40:08",0,1,0,0,0,8566,1,1,0,0,0,691,173
188,0,,0,0,"0173-09-23 02:40:08",0,1,0,0,0,112409,1,1,0,0,0,691,173
189,0,,0,0,"0173-12-20 21:06:18",0,1,1,0,0,8578,1,0,0,0,0,692,173
190,0,,0,0,"0173-12-20 21:06:18",0,1,1,0,0,112421,1,0,0,0,0,692,173
191,0,,0,0,"0178-03-20 20:38:12",0,1,0,0,1,8788,0,0,0,1,0,709,178
192,0,,0,0,"0178-03-20 20:38:12",0,1,0,0,1,112631,0,0,0,1,0,709,178
193,0,,0,0,"0182-03-20 19:36:06",0,1,0,0,0,8986,1,0,0,1,0,725,182
194,0,,0,0,"0182-03-20 19:36:06",0,1,0,0,0,112829,1,0,0,1,0,725,182
195,0,,0,0,"0183-06-22 22:37:55",1,1,0,0,1,9048,0,0,0,0,0,730,183
196,0,,0,0,"0183-06-22 22:37:55",1,1,0,0,1,112891,0,0,0,0,0,730,183
197,0,,0,0,"0184-12-20 13:06:07",0,1,1,0,0,9122,1,0,0,0,0,736,184
198,0,,0,0,"0184-12-20 13:06:07",0,1,1,0,0,112965,1,0,0,0,0,736,184
199,0,,0,0,"0187-06-22 21:46:57",1,1,0,0,0,9246,1,0,0,0,0,746,187
200,0,,0,0,"0187-06-22 21:46:57",1,1,0,0,0,113089,1,0,0,0,0,746,187
201,0,,0,0,"0188-09-22 17:45:52",0,1,0,0,1,9308,0,1,0,0,0,751,188
202,0,,0,0,"0188-09-22 17:45:52",0,1,0,0,1,113151,0,1,0,0,0,751,188
203,0,,0,0,"0188-12-20 12:20:11",0,1,1,0,1,9320,0,0,0,0,0,752,188
204,0,,0,0,"0188-12-20 12:20:11",0,1,1,0,1,113163,0,0,0,0,0,752,188
205,0,,0,0,"0191-06-22 21:04:29",1,1,0,0,1,9444,0,0,0,0,0,762,191
206,0,,0,0,"0191-06-22 21:04:29",1,1,0,0,1,113287,0,0,0,0,0,762,191
207,0,,0,0,"0192-09-22 17:19:13",0,1,0,0,0,9506,1,1,0,0,0,767,192
208,0,,0,0,"0192-09-22 17:19:13",0,1,0,0,0,113349,1,1,0,0,0,767,192
209,0,,0,0,"0192-12-20 11:46:21",0,1,1,0,0,9518,1,0,0,0,0,768,192
210,0,,0,0,"0192-12-20 11:46:21",0,1,1,0,0,113361,1,0,0,0,0,768,192
211,0,,0,0,"0193-03-20 11:39:05",0,1,0,0,0,9530,1,0,0,1,0,769,193
212,0,,0,0,"0193-03-20 11:39:05",0,1,0,0,0,113373,1,0,0,1,0,769,193
213,0,,0,0,"0197-03-20 11:05:13",0,1,0,0,1,9728,0,0,0,1,0,785,197
214,0,,0,0,"0197-03-20 11:05:13",0,1,0,0,1,113571,0,0,0,1,0,785,197
215,0,,0,0,"0201-03-21 10:10:55",0,1,0,0,0,9926,1,0,0,1,0,801,201
216,0,,0,0,"0201-03-21 10:10:55",0,1,0,0,0,113769,1,0,0,1,0,801,201
217,0,,0,0,"0202-06-23 12:52:26",1,1,0,0,1,9988,0,0,0,0,0,806,202
218,0,,0,0,"0202-06-23 12:52:26",1,1,0,0,1,113831,0,0,0,0,0,806,202
219,0,,0,0,"0203-12-22 03:43:08",0,1,1,0,0,10062,1,0,0,0,0,812,203
220,0,,0,0,"0203-12-22 03:43:08",0,1,1,0,0,113905,1,0,0,0,0,812,203
221,0,,0,0,"0206-06-23 11:52:27",1,1,0,0,0,10186,1,0,0,0,0,822,206
222,0,,0,0,"0206-06-23 11:52:27",1,1,0,0,0,114029,1,0,0,0,0,822,206
223,0,,0,0,"0207-09-24 08:23:03",0,1,0,0,1,10248,0,1,0,0,0,827,207
224,0,,0,0,"0207-09-24 08:23:03",0,1,0,0,1,114091,0,1,0,0,0,827,207
225,0,,0,0,"0207-12-22 03:08:52",0,1,1,0,1,10260,0,0,0,0,0,828,207
226,0,,0,0,"0207-12-22 03:08:52",0,1,1,0,1,114103,0,0,0,0,0,828,207
227,0,,0,0,"0211-09-24 07:48:36",0,1,0,0,0,10446,1,1,0,0,0,843,211
228,0,,0,0,"0211-09-24 07:48:36",0,1,0,0,0,114289,1,1,0,0,0,843,211
229,0,,0,0,"0211-12-22 02:35:45",0,1,1,0,0,10458,1,0,0,0,0,844,211
230,0,,0,0,"0211-12-22 02:35:45",0,1,1,0,0,114301,1,0,0,0,0,844,211
231,0,,0,0,"0212-03-21 02:09:18",0,1,0,0,0,10470,1,0,0,1,0,845,212
232,0,,0,0,"0212-03-21 02:09:18",0,1,0,0,0,114313,1,0,0,1,0,845,212
233,0,,0,0,"0216-03-21 01:21:06",0,1,0,0,1,10668,0,0,0,1,0,861,216
234,0,,0,0,"0216-03-21 01:21:06",0,1,0,0,1,114511,0,0,0,1,0,861,216
235,0,,0,0,"0221-06-23 03:02:28",1,1,0,0,1,10928,0,0,0,0,0,882,221
236,0,,0,0,"0221-06-23 03:02:28",1,1,0,0,1,114771,0,0,0,0,0,882,221
237,0,,0,0,"0225-06-23 02:12:57",1,1,0,0,0,11126,1,0,0,0,0,898,225
238,0,,0,0,"0225-06-23 02:12:57",1,1,0,0,0,114969,1,0,0,0,0,898,225
239,0,,0,0,"0226-09-23 22:55:47",0,1,0,0,1,11188,0,1,0,0,0,903,226
240,0,,0,0,"0226-09-23 22:55:47",0,1,0,0,1,115031,0,1,0,0,0,903,226
241,0,,0,0,"0226-12-21 17:46:42",0,1,1,0,1,11200,0,0,0,0,0,904,226
242,0,,0,0,"0226-12-21 17:46:42",0,1,1,0,1,115043,0,0,0,0,0,904,226
243,0,,0,0,"0230-09-23 22:24:15",0,1,0,0,0,11386,1,1,0,0,0,919,230
244,0,,0,0,"0230-09-23 22:24:15",0,1,0,0,0,115229,1,1,0,0,0,919,230
245,0,,0,0,"0230-12-21 17:26:36",0,1,1,0,0,11398,1,0,0,0,0,920,230
246,0,,0,0,"0230-12-21 17:26:36",0,1,1,0,0,115241,1,0,0,0,0,920,230
247,0,,0,0,"0231-03-21 16:28:55",0,1,0,0,0,11410,1,0,0,1,0,921,231
248,0,,0,0,"0231-03-21 16:28:55",0,1,0,0,0,115253,1,0,0,1,0,921,231
249,0,,0,0,"0235-03-21 15:46:21",0,1,0,0,1,11608,0,0,0,1,0,937,235
250,0,,0,0,"0235-03-21 15:46:21",0,1,0,0,1,115451,0,0,0,1,0,937,235
251,0,,0,0,"0240-06-22 17:19:21",1,1,0,0,1,11868,0,0,0,0,0,958,240
252,0,,0,0,"0240-06-22 17:19:21",1,1,0,0,1,115711,0,0,0,0,0,958,240
253,0,,0,0,"0241-09-23 14:10:34",0,1,0,0,0,11930,1,1,0,0,0,963,241
254,0,,0,0,"0241-09-23 14:10:34",0,1,0,0,0,115773,1,1,0,0,0,963,241
255,0,,0,0,"0244-06-22 16:26:15",1,1,0,0,0,12066,1,0,0,0,0,974,244
256,0,,0,0,"0244-06-22 16:26:15",1,1,0,0,0,115909,1,0,0,0,0,974,244
257,0,,0,0,"0245-09-23 13:29:53",0,1,0,0,1,12128,0,1,0,0,0,979,245
258,0,,0,0,"0245-09-23 13:29:53",0,1,0,0,1,115971,0,1,0,0,0,979,245
259,0,,0,0,"0245-12-21 08:39:43",0,1,1,0,1,12140,0,0,0,0,0,980,245
260,0,,0,0,"0245-12-21 08:39:43",0,1,1,0,1,115983,0,0,0,0,0,980,245
261,0,,0,0,"0248-06-22 15:55:25",1,1,0,0,1,12264,0,0,0,0,0,990,248
262,0,,0,0,"0248-06-22 15:55:25",1,1,0,0,1,116107,0,0,0,0,0,990,248
263,0,,0,0,"0249-09-23 12:53:49",0,1,0,0,0,12326,1,1,0,0,0,995,249
264,0,,0,0,"0249-09-23 12:53:49",0,1,0,0,0,116169,1,1,0,0,0,995,249
265,0,,0,0,"0249-12-21 08:05:44",0,1,1,0,0,12338,1,0,0,0,0,996,249
266,0,,0,0,"0249-12-21 08:05:44",0,1,1,0,0,116181,1,0,0,0,0,996,249
267,0,,0,0,"0250-03-21 07:00:22",0,1,0,0,0,12350,1,0,0,1,0,997,250
268,0,,0,0,"0250-03-21 07:00:22",0,1,0,0,0,116193,1,0,0,1,0,997,250
269,0,,0,0,"0254-03-21 06:04:27",0,1,0,0,1,12548,0,0,0,1,0,1013,254
270,0,,0,0,"0254-03-21 06:04:27",0,1,0,0,1,116391,0,0,0,1,0,1013,254
271,0,,0,0,"0259-06-23 07:30:59",1,1,0,0,1,12808,0,0,0,0,0,1034,259
272,0,,0,0,"0259-06-23 07:30:59",1,1,0,0,1,116651,0,0,0,0,0,1034,259
